Date,Open,High,Low,Close,Adj Close,Volume
2020-05-29,434.000000,450.000000,431.100006,436.350006,429.650177,9539035
2020-06-01,441.850006,470.500000,441.500000,461.100006,454.020172,9668047
2020-06-02,465.100006,478.850006,460.850006,462.850006,455.743317,8520940
2020-06-03,470.000000,492.600006,466.500000,485.100006,477.651672,9873294
2020-06-04,485.299988,486.250000,469.399994,478.450012,471.103790,5829493
2020-06-05,479.000000,489.450012,475.399994,484.200012,476.765472,6265829
2020-06-08,485.500000,494.149994,468.250000,470.850006,463.620483,5955200
2020-06-09,473.799988,482.799988,463.299988,478.750000,471.399170,7656301
2020-06-10,476.149994,483.700012,468.850006,472.049988,464.802032,4849036
2020-06-11,472.000000,480.000000,469.500000,474.549988,467.263641,4331683
2020-06-12,457.000000,512.900024,456.100006,508.450012,500.643158,18368009
2020-06-15,505.149994,520.950012,498.700012,508.149994,500.347748,17605860
2020-06-16,517.099976,519.000000,501.299988,506.750000,498.969238,6712936
2020-06-17,504.899994,504.899994,492.500000,497.600006,489.959747,9273745
2020-06-18,496.899994,508.899994,492.000000,506.600006,498.821564,7114752
2020-06-19,506.600006,506.600006,496.399994,500.049988,492.372101,9811021
2020-06-22,501.750000,502.250000,494.100006,498.750000,491.092072,5149581
2020-06-23,500.000000,519.900024,497.600006,516.400024,508.471130,9132472
2020-06-24,520.000000,527.650024,512.549988,515.349976,507.437164,7568963
2020-06-25,509.899994,516.349976,503.350006,507.250000,499.461578,5248401
2020-06-26,515.000000,515.250000,498.700012,501.399994,493.701385,4079405
2020-06-29,494.100006,510.950012,493.049988,507.450012,499.658508,4459947
2020-06-30,509.000000,515.500000,507.100006,510.700012,502.858612,5487685
2020-07-01,513.750000,521.400024,494.250000,498.950012,491.289032,8990865
2020-07-02,506.500000,532.000000,504.399994,529.700012,521.566895,16513522
2020-07-03,531.400024,535.500000,524.200012,530.500000,522.354614,7982179
2020-07-06,533.650024,573.549988,533.650024,570.549988,561.789612,16728066
2020-07-07,565.000000,568.000000,551.650024,560.000000,551.401611,9208254
2020-07-08,564.000000,568.250000,549.000000,551.250000,542.786011,5172833
2020-07-09,554.000000,564.299988,548.049988,560.299988,551.697021,4123902
2020-07-10,555.299988,568.950012,552.000000,554.849976,546.330688,5752443
2020-07-13,560.000000,560.500000,549.200012,555.849976,547.315369,3165043
2020-07-14,553.000000,553.950012,538.000000,545.200012,536.828857,3097258
2020-07-15,550.000000,559.700012,542.750000,550.150024,541.702942,5671780
2020-07-16,547.000000,574.500000,542.549988,570.900024,564.545776,11751032
2020-07-17,571.950012,591.250000,565.500000,588.799988,582.246521,9124092
2020-07-20,588.900024,597.599976,582.150024,594.000000,587.388672,5771917
2020-07-21,592.849976,597.500000,585.500000,588.299988,581.752075,3850519
2020-07-22,588.599976,612.000000,582.000000,592.000000,585.410889,11559026
2020-07-23,590.950012,609.000000,584.500000,603.349976,596.634583,7605913
2020-07-24,594.099976,600.950012,590.099976,598.700012,592.036377,3531702
2020-07-27,598.150024,600.000000,588.000000,594.400024,587.784241,3345182
2020-07-28,591.599976,625.799988,588.750000,620.349976,613.445374,10289416
2020-07-29,620.000000,624.900024,601.000000,604.849976,598.117859,5182915
2020-07-30,606.000000,614.799988,596.250000,598.349976,591.690186,4958267
2020-07-31,599.900024,610.849976,592.150024,606.450012,599.700073,3962668
2020-08-03,610.000000,620.500000,594.200012,597.150024,590.503601,5002825
2020-08-04,597.150024,609.599976,597.150024,602.599976,595.892883,4889709
2020-08-05,605.900024,620.000000,603.200012,614.250000,607.413269,3834812
2020-08-06,618.000000,618.000000,605.549988,609.650024,602.864502,3857553
2020-08-07,610.099976,616.500000,598.700012,600.450012,593.766846,7679198
2020-08-10,605.000000,640.799988,605.000000,628.900024,621.900208,12341769
2020-08-11,630.000000,640.599976,622.400024,629.549988,622.542969,5128836
2020-08-12,628.000000,648.599976,624.349976,634.950012,627.882874,8891590
